Index,SMILES
129,NC(=O)COc1ccc(C=C2N=C(c3cccc(Br)c3)OC2=O)cc1
130,O=C(O)CCn1c(C=Cc2ccc(F)cc2)nc2ccccc2c1=O
131,CC(C)[C@H](NC(=O)c1ccc2nc(-c3ccccc3)cn2c1)C(N)=O
132,Clc1cccc2c(-c3nc4ccc(-n5cccc5)cc4o3)cccc12
133,C=CCN1c2ccc(C(=O)NCCC)cc2-c2ccccc2S1(=O)=O
134,CN(C)c1ccc(NC(=O)COc2ccc3ccc(=O)oc3c2)cn1
135,CCCOc1ccc(-c2cc(C(=O)O)c3ccc(Cl)c(C)c3n2)cc1
136,Cc1cccc(CSCC(=O)Nc2ccc3c(C)cc(=O)oc3c2)c1
137,CC(=O)NCc1ccc(-c2csc(NC(=O)c3cnc(C)cn3)n2)s1
138,Clc1ccc(-c2nnc3sc(-c4ccn5nnnc5c4)nn23)c(Cl)c1
139,O=C(/C=C/C=C/c1ccccc1)CC1(O)C(=O)Nc2ccc(Br)cc21
140,CC(C)c1ccc(/C=C/C(=O)c2ccc(-c3ccccc3)cc2)cc1
141,CCOC(=O)c1c(NC(=O)/C=C/c2cnn(C)c2)sc2c1CCCC2
142,COc1ccc2nc(NC(=O)c3cc(OC)c(Br)c(OC)c3)sc2c1
143,Cc1cn2nc(N3CCN(c4nccn5nccc45)CC3)ccc2n1
144,Cc1cc(C)n(C2CN(c3cc(C)c4cc5c(cc4n3)CCC5)C2)n1
145,CCc1nnc(NC(=O)CSc2nc(C)c3c(c2C#N)CCCC3)s1
146,CC(C)CC(=O)Nc1nnc(-c2ccccc2-c2ccc(F)cc2)s1
147,Cc1cc2c(C(C)C)c(C)c(-c3ccc(OCC(=O)O)cc3)nc2s1
148,CC(C)OC(=O)CSc1nc2cc(-c3ccccc3)sc2c(=O)n1C
149,COc1ccc2[nH]cc(C(=O)Nc3ccc(CCO)cc3)c(=O)c2c1
150,COc1ccc(-c2coc3c(CNC(C)C)c(O)ccc3c2=O)cc1
151,CC(C)(C)c1ccc(-c2cc(C(=O)N3CCCCCC3)c3cc(Br)ccc3n2)cc1
152,COC(=O)COc1ccc2c(=O)c(-c3ccc(OC)cc3)coc2c1
153,CCOC(=O)CNC(=O)c1cc2c(=O)n(CC)c3ccccc3c2s1
154,CCOc1ccccc1C1=NC(=Cc2cc(Br)ccc2OC)C(=O)O1
155,O=C(Nn1cnc2ccccc21)c1cc2c(s1)-c1ccccc1OC2
156,COCCOC(=O)C1=C(C)NC2=C(C(=O)CCC2)C1c1ccccc1
